run,window,phase,seq,query,op_type,exec_ms,ok,err,planning_ms,exec_ms_pg,rows_returned,shared_blks_hit,shared_blks_read,temp_blks_written
1,0,Reporting,0,Q6,SELECT,74.1349,True,,0.578,39.591,1,20950,165,0
1,0,Reporting,1,Q6,SELECT,61.8773,True,,0.056,30.082,1,21115,0,0
1,0,Reporting,2,Q1,SELECT,965.2712,True,,0.108,493.019,4,22674,882,0
1,0,Reporting,3,Q12,SELECT,96.923,True,,0.25,48.397,2,47564,0,0
1,0,Reporting,4,Q1,SELECT,944.9471,True,,0.076,482.161,4,23553,0,0
1,0,Reporting,5,Q6,SELECT,58.6335,True,,0.052,29.187,1,21115,0,0
1,0,Reporting,6,Q1,SELECT,937.4949,True,,0.068,477.832,4,23553,0,0
1,0,Reporting,7,Q1,SELECT,937.1136,True,,0.056,476.332,4,23553,0,0
1,0,Reporting,8,Q6,SELECT,58.4503,True,,0.038,28.891,1,21115,0,0
1,0,Reporting,9,Q6,SELECT,57.7729,True,,0.035,28.151,1,21115,0,0
1,0,Reporting,10,Q6,SELECT,57.8009,True,,0.036,28.546,1,21115,0,0
1,0,Reporting,11,Q6,SELECT,58.2973,True,,0.038,29.125,1,21115,0,0
1,0,Reporting,12,Q12,SELECT,93.049,True,,0.091,46.073,2,47564,0,0
1,0,Reporting,13,Q1,SELECT,950.5762,True,,0.055,481.385,4,23553,0,0
1,0,Reporting,14,Q6,SELECT,58.9713,True,,0.06,29.318,1,21115,0,0
1,0,Reporting,15,Q6,SELECT,58.348,True,,0.039,28.582,1,21115,0,0
1,0,Reporting,16,Q6,SELECT,58.1986,True,,0.037,28.59,1,21115,0,0
1,0,Reporting,17,Q10,SELECT,103.3581,True,,0.374,52.031,20,142305,12,0
1,0,Reporting,18,Q1,SELECT,975.0335,True,,0.072,495.57,4,23553,0,0
1,0,Reporting,19,Q6,SELECT,58.168,True,,0.036,28.747,1,21115,0,0
1,0,Reporting,20,Q6,SELECT,58.0899,True,,0.033,28.356,1,21115,0,0
1,1,Reporting,21,Q6,SELECT,72.8761,True,,0.199,39.106,1,21115,0,0
1,1,Reporting,22,Q12,SELECT,93.0615,True,,0.265,46.098,2,47564,0,0
1,1,Reporting,23,Q1,SELECT,977.7534,True,,0.077,514.708,4,23553,0,0
1,1,Reporting,24,Q1,SELECT,937.6989,True,,0.083,477.412,4,23553,0,0
1,1,Reporting,25,Q1,SELECT,938.6794,True,,0.069,476.393,4,23553,0,0
1,1,Reporting,26,Q1,SELECT,938.1927,True,,0.074,477.764,4,23553,0,0
1,1,Reporting,27,Q1,SELECT,939.6418,True,,0.048,484.55,4,23553,0,0
1,1,Reporting,28,Q1,SELECT,928.0482,True,,0.082,473.546,4,23553,0,0
1,1,Reporting,29,Q1,SELECT,926.9543,True,,0.066,472.802,4,23553,0,0
1,1,Reporting,30,Q6,SELECT,59.5345,True,,0.047,29.575,1,21115,0,0
1,1,Reporting,31,Q6,SELECT,57.7748,True,,0.04,28.952,1,21115,0,0
1,1,Reporting,32,Q1,SELECT,932.3261,True,,0.058,475.948,4,23553,0,0
1,1,Reporting,33,Q1,SELECT,934.1663,True,,0.064,474.228,4,23553,0,0
1,1,Reporting,34,Q1,SELECT,940.7777,True,,0.075,479.216,4,23553,0,0
1,1,Reporting,35,Q1,SELECT,943.2831,True,,0.071,476.037,4,23553,0,0
1,1,Reporting,36,Q1,SELECT,939.1528,True,,0.08,478.506,4,23553,0,0
1,1,Reporting,37,Q1,SELECT,936.0856,True,,0.078,478.286,4,23553,0,0
1,2,Reporting,38,Q12,SELECT,96.959,True,,0.363,47.751,2,47564,0,0
1,2,Reporting,39,Q1,SELECT,964.8422,True,,0.088,501.816,4,23553,0,0
1,2,Reporting,40,Q1,SELECT,937.1665,True,,0.072,477.487,4,23553,0,0
1,2,Reporting,41,Q1,SELECT,935.4208,True,,0.054,476.615,4,23553,0,0
1,2,Reporting,42,Q1,SELECT,944.1603,True,,0.049,475.326,4,23553,0,0
1,2,Reporting,43,Q12,SELECT,93.6101,True,,0.114,46.304,2,47564,0,0
1,2,Reporting,44,Q12,SELECT,92.7999,True,,0.071,45.74,2,47564,0,0
1,2,Reporting,45,Q1,SELECT,939.3248,True,,0.06,485.474,4,23553,0,0
1,2,Reporting,46,Q12,SELECT,93.0638,True,,0.108,46.062,2,47564,0,0
1,2,Reporting,47,Q14,SELECT,23.2898,True,,0.177,12.514,1,9228,1,0
1,2,Reporting,48,Q6,SELECT,58.848,True,,0.025,29.6,1,21115,0,0
1,2,Reporting,49,Q1,SELECT,943.401,True,,0.058,479.571,4,23553,0,0
1,2,Reporting,50,Q12,SELECT,93.3545,True,,0.096,46.302,2,47564,0,0
1,2,Reporting,51,Q14,SELECT,22.6976,True,,0.07,12.268,1,9229,0,0
1,2,Reporting,52,Q1,SELECT,979.8683,True,,0.041,505.965,4,23553,0,0
1,2,Reporting,53,Q10,SELECT,103.9447,True,,0.357,52.651,20,142317,0,0
1,2,Reporting,54,Q6,SELECT,61.3681,True,,0.051,30.556,1,21115,0,0
1,2,Reporting,55,Q1,SELECT,967.9518,True,,0.071,496.804,4,23553,0,0
1,2,Reporting,56,Q6,SELECT,60.06,True,,0.042,29.876,1,21115,0,0
1,3,Reporting,57,Q12,SELECT,97.7407,True,,0.342,48.124,2,47564,0,0
1,3,Reporting,58,Q1,SELECT,1124.9303,True,,0.076,574.958,4,23553,0,0
1,3,Reporting,59,Q6,SELECT,62.7012,True,,0.045,30.774,1,21115,0,0
1,3,Reporting,60,Q6,SELECT,61.3724,True,,0.036,30.885,1,21115,0,0
1,3,Reporting,61,Q12,SELECT,94.7832,True,,0.093,46.557,2,47564,0,0
1,3,Reporting,62,Q10,SELECT,102.7032,True,,0.347,52.554,20,142317,0,0
1,3,Reporting,63,Q14,SELECT,23.2259,True,,0.166,13.1,1,9229,0,0
1,3,Reporting,64,Q6,SELECT,62.1948,True,,0.029,30.0,1,21115,0,0
1,3,Reporting,65,Q12,SELECT,94.2145,True,,0.102,46.622,2,47564,0,0
1,3,Reporting,66,Q12,SELECT,93.9852,True,,0.093,46.82,2,47564,0,0
1,3,Reporting,67,Q6,SELECT,62.96,True,,0.045,32.504,1,21115,0,0
1,3,Reporting,68,Q6,SELECT,59.751,True,,0.037,29.071,1,21115,0,0
1,3,Reporting,69,Q12,SELECT,93.2683,True,,0.082,46.186,2,47564,0,0
1,3,Reporting,70,Q1,SELECT,1092.0597,True,,0.057,553.581,4,23553,0,0
1,3,Reporting,71,Q12,SELECT,93.7329,True,,0.081,46.933,2,47564,0,0
1,3,Reporting,72,Q1,SELECT,1072.0187,True,,0.057,553.317,4,23553,0,0
1,3,Reporting,73,Q1,SELECT,1087.7788,True,,0.052,560.474,4,23553,0,0
1,3,Reporting,74,Q12,SELECT,93.0111,True,,0.083,46.345,2,47564,0,0
1,4,Reporting,75,Q6,SELECT,71.7548,True,,0.21,39.182,1,21115,0,0
1,4,Reporting,76,Q1,SELECT,990.9318,True,,0.11,513.358,4,23556,0,0
1,4,Reporting,77,Q12,SELECT,95.2322,True,,0.246,46.812,2,47564,0,0
1,4,Reporting,78,Q6,SELECT,60.0758,True,,0.064,30.225,1,21115,0,0
1,4,Reporting,79,Q6,SELECT,58.5728,True,,0.046,29.209,1,21115,0,0
1,4,Reporting,80,Q6,SELECT,59.2449,True,,0.052,29.157,1,21115,0,0
1,4,Reporting,81,Q14,SELECT,22.498,True,,0.172,12.287,1,9229,0,0
1,4,Reporting,82,Q6,SELECT,60.6706,True,,0.028,30.016,1,21115,0,0
1,4,Reporting,83,Q10,SELECT,104.2092,True,,0.358,53.443,20,142317,0,0
1,4,Reporting,84,Q6,SELECT,65.0747,True,,0.048,33.228,1,21115,0,0
1,4,Reporting,85,Q1,SELECT,1043.7838,True,,0.059,529.956,4,23553,0,0
1,4,Reporting,86,Q6,SELECT,60.1915,True,,0.036,30.508,1,21115,0,0
1,4,Reporting,87,Q1,SELECT,1033.0179,True,,0.054,524.398,4,23553,0,0
1,4,Reporting,88,Q14,SELECT,22.0388,True,,0.068,11.98,1,9229,0,0
1,4,Reporting,89,Q6,SELECT,61.6283,True,,0.035,30.991,1,21115,0,0
1,4,Reporting,90,Q1,SELECT,965.2905,True,,0.05,497.703,4,23553,0,0
1,4,Reporting,91,Q6,SELECT,60.671,True,,0.056,30.207,1,21115,0,0
1,4,Reporting,92,Q6,SELECT,60.3271,True,,0.057,29.288,1,21115,0,0
1,4,Reporting,93,Q6,SELECT,60.5403,True,,0.043,29.803,1,21115,0,0
1,4,Reporting,94,Q6,SELECT,59.8296,True,,0.04,29.731,1,21115,0,0
1,5,Reporting,95,Q1,SELECT,1015.637,True,,0.248,520.698,4,23556,0,0
1,5,Reporting,96,Q6,SELECT,61.2472,True,,0.058,30.166,1,21115,0,0
1,5,Reporting,97,Q12,SELECT,100.2083,True,,0.264,51.697,2,47564,0,0
1,5,Reporting,98,Q12,SELECT,99.9904,True,,0.086,51.572,2,47564,0,0
1,5,Reporting,99,Q14,SELECT,23.8131,True,,0.155,13.37,1,9229,0,0
1,5,Reporting,100,Q7,SELECT,183.7587,True,,0.47,97.916,4,290981,0,0
1,5,Reporting,101,Q14,SELECT,22.0168,True,,0.079,11.846,1,9229,0,0
1,5,Reporting,102,Q7,SELECT,180.7118,True,,0.259,96.21,4,290978,0,0
1,5,Reporting,103,Q12,SELECT,98.4862,True,,0.089,50.969,2,47564,0,0
1,5,Reporting,104,Q12,SELECT,97.8254,True,,0.073,51.144,2,47564,0,0
1,5,Reporting,105,Q1,SELECT,1071.1546,True,,0.066,546.939,4,23553,0,0
1,5,Reporting,106,Q1,SELECT,1023.8717,True,,0.072,526.734,4,23553,0,0
1,5,Reporting,107,Q1,SELECT,1048.588,True,,0.064,528.491,4,23553,0,0
1,5,Reporting,108,Q12,SELECT,96.8708,True,,0.079,50.186,2,47564,0,0
1,5,Reporting,109,Q7,SELECT,182.823,True,,0.266,96.848,4,290978,0,0
1,5,Reporting,110,Q14,SELECT,22.4319,True,,0.078,12.111,1,9229,0,0
1,5,Reporting,111,Q1,SELECT,1055.8492,True,,0.04,527.8,4,23553,0,0
1,5,Reporting,112,Q6,SELECT,58.7009,True,,0.04,29.214,1,21115,0,0
1,5,Reporting,113,Q1,SELECT,1045.9607,True,,0.055,540.833,4,23553,0,0
1,5,Reporting,114,Q14,SELECT,22.1157,True,,0.058,11.871,1,9229,0,0
1,5,Reporting,115,Q12,SELECT,105.169,True,,0.059,51.021,2,47564,0,0
1,5,Reporting,116,Q1,SELECT,947.5692,True,,0.069,490.293,4,23553,0,0
1,5,Reporting,117,Q1,SELECT,931.5981,True,,0.064,473.54,4,23553,0,0
1,6,Reporting,118,Q1,SELECT,1176.4776,True,,0.242,606.805,4,23556,0,0
1,6,Reporting,119,Q12,SELECT,99.7208,True,,0.248,51.538,2,47564,0,0
1,6,Reporting,120,Q14,SELECT,23.5302,True,,0.147,12.938,1,9229,0,0
1,6,Reporting,121,Q12,SELECT,98.1444,True,,0.051,50.884,2,47564,0,0
1,6,Reporting,122,Q14,SELECT,23.761,True,,0.085,12.624,1,9229,0,0
1,6,Reporting,123,Q14,SELECT,20.5698,True,,0.038,10.308,1,9229,0,0
1,6,Reporting,124,Q14,SELECT,20.2902,True,,0.048,10.482,1,9229,0,0
1,6,Reporting,125,Q14,SELECT,21.093,True,,0.026,11.019,1,9229,0,0
1,6,Reporting,126,Q14,SELECT,19.1969,True,,0.047,10.071,1,9229,0,0
1,6,Reporting,127,Q6,SELECT,59.1986,True,,0.021,29.574,1,21115,0,0
1,6,Reporting,128,Q1,SELECT,1016.0828,True,,0.059,517.525,4,23553,0,0
1,6,Reporting,129,Q1,SELECT,1000.8179,True,,0.05,519.041,4,23553,0,0
1,6,Reporting,130,Q14,SELECT,22.2257,True,,0.064,11.819,1,9229,0,0
1,6,Reporting,131,Q14,SELECT,20.1433,True,,0.04,10.159,1,9229,0,0
1,6,Reporting,132,Q14,SELECT,20.3288,True,,0.051,10.698,1,9229,0,0
1,6,Reporting,133,Q6,SELECT,58.9991,True,,0.037,29.565,1,21115,0,0
1,6,Reporting,134,Q6,SELECT,59.7009,True,,0.036,29.612,1,21115,0,0
1,6,Reporting,135,Q6,SELECT,58.5739,True,,0.035,28.901,1,21115,0,0
1,7,Reporting,136,Q6,SELECT,68.0045,True,,0.21,36.615,1,21115,0,0
1,7,Reporting,137,Q6,SELECT,59.108,True,,0.051,28.993,1,21115,0,0
1,7,Reporting,138,Q12,SELECT,93.9351,True,,0.268,47.072,2,47564,0,0
1,7,Reporting,139,Q12,SELECT,91.9632,True,,0.097,45.425,2,47564,0,0
1,7,Reporting,140,Q12,SELECT,91.857,True,,0.074,45.472,2,47564,0,0
1,7,Reporting,141,Q12,SELECT,91.8385,True,,0.073,45.312,2,47564,0,0
1,7,Reporting,142,Q6,SELECT,63.4618,True,,0.043,31.946,1,21115,0,0
1,7,Reporting,143,Q14,SELECT,22.8218,True,,0.134,12.512,1,9229,0,0
1,7,Reporting,144,Q14,SELECT,19.8125,True,,0.029,10.438,1,9229,0,0
1,7,Reporting,145,Q6,SELECT,59.9547,True,,0.03,29.51,1,21115,0,0
1,7,Reporting,146,Q12,SELECT,94.8331,True,,0.111,46.699,2,47564,0,0
1,7,Reporting,147,Q12,SELECT,94.3907,True,,0.076,46.882,2,47564,0,0
1,7,Reporting,148,Q1,SELECT,1011.5475,True,,0.077,518.648,4,23553,0,0
1,7,Reporting,149,Q6,SELECT,59.5016,True,,0.038,29.755,1,21115,0,0
1,7,Reporting,150,Q12,SELECT,93.0635,True,,0.093,46.274,2,47564,0,0
1,7,Reporting,151,Q6,SELECT,60.8702,True,,0.047,30.582,1,21115,0,0
1,7,Reporting,152,Q12,SELECT,93.2557,True,,0.083,46.368,2,47564,0,0
1,7,Reporting,153,Q1,SELECT,1008.0217,True,,0.059,510.429,4,23553,0,0
1,7,Reporting,154,Q12,SELECT,93.7616,True,,0.127,46.292,2,47564,0,0
1,7,Reporting,155,Q12,SELECT,93.1407,True,,0.07,46.224,2,47564,0,0
1,8,JoinHeavy,156,Q7,SELECT,197.5963,True,,0.722,110.586,4,290941,0,0
1,8,JoinHeavy,157,Q7,SELECT,183.8378,True,,0.32,97.747,4,290935,0,0
1,8,JoinHeavy,158,Q10,SELECT,102.3145,True,,0.289,53.372,20,142314,0,0
1,8,JoinHeavy,159,Q5,SELECT,61.511,True,,0.48,24.306,5,43127,1932,0
1,8,JoinHeavy,160,Q7,SELECT,183.9581,True,,0.289,97.679,4,290935,0,0
1,8,JoinHeavy,161,Q7,SELECT,181.4054,True,,0.32,95.667,4,290935,0,0
1,8,JoinHeavy,162,Q7,SELECT,181.9079,True,,0.328,96.287,4,290935,0,0
1,8,JoinHeavy,163,Q7,SELECT,182.6445,True,,0.32,96.95,4,290935,0,0
1,8,JoinHeavy,164,Q3,SELECT,90.6652,True,,0.174,46.588,10,29993,0,0
1,8,JoinHeavy,165,Q7,SELECT,183.7505,True,,0.325,97.946,4,290935,0,0
1,8,JoinHeavy,166,Q10,SELECT,96.2546,True,,0.239,48.356,20,96442,0,0
1,8,JoinHeavy,167,Q10,SELECT,96.8611,True,,0.231,49.114,20,96442,0,0
1,8,JoinHeavy,168,Q5,SELECT,35.564,True,,0.361,18.005,5,45059,0,0
1,8,JoinHeavy,169,Q7,SELECT,182.5046,True,,0.289,97.539,4,290935,0,0
1,8,JoinHeavy,170,Q5,SELECT,35.7894,True,,0.386,18.016,5,45059,0,0
1,8,JoinHeavy,171,Q10,SELECT,97.3415,True,,0.209,49.464,20,96442,0,0
1,8,JoinHeavy,172,Q7,SELECT,182.8221,True,,0.32,97.171,4,290935,0,0
1,8,JoinHeavy,173,Q7,SELECT,180.183,True,,0.297,95.24,4,290935,0,0
1,8,JoinHeavy,174,Q3,SELECT,88.9849,True,,0.21,45.705,10,29990,0,0
1,9,JoinHeavy,175,Q7,SELECT,197.5438,True,,0.753,109.941,4,290941,0,0
1,9,JoinHeavy,176,Q3,SELECT,87.9953,True,,0.183,45.467,10,29993,0,0
1,9,JoinHeavy,177,Q7,SELECT,184.867,True,,0.311,98.426,4,290935,0,0
1,9,JoinHeavy,178,Q3,SELECT,87.7677,True,,0.168,45.58,10,29990,0,0
1,9,JoinHeavy,179,Q7,SELECT,183.1323,True,,0.299,97.222,4,290935,0,0
1,9,JoinHeavy,180,Q5,SELECT,37.1003,True,,0.461,18.544,5,45059,0,0
1,9,JoinHeavy,181,Q3,SELECT,88.2337,True,,0.157,46.179,10,29990,0,0
1,9,JoinHeavy,182,Q5,SELECT,35.9804,True,,0.359,17.728,5,45059,0,0
1,9,JoinHeavy,183,Q3,SELECT,88.7577,True,,0.175,45.854,10,29990,0,0
1,9,JoinHeavy,184,Q5,SELECT,36.942,True,,0.377,17.997,5,45059,0,0
1,9,JoinHeavy,185,Q3,SELECT,89.5925,True,,0.167,47.072,10,29990,0,0
1,9,JoinHeavy,186,Q3,SELECT,58.1892,True,,0.241,29.56,10,128251,10,0
1,9,JoinHeavy,187,Q3,SELECT,57.882,True,,0.155,29.165,10,128261,0,0
1,9,JoinHeavy,188,Q3,SELECT,57.0685,True,,0.15,28.874,10,128261,0,0
1,10,JoinHeavy,189,Q7,SELECT,116.4103,True,,0.869,64.5,4,129355,305,0
1,10,JoinHeavy,190,Q3,SELECT,60.2709,True,,0.191,29.836,10,128264,0,0
1,10,JoinHeavy,191,Q7,SELECT,103.9852,True,,0.308,54.736,4,129654,0,0
1,10,JoinHeavy,192,Q3,SELECT,59.5432,True,,0.157,30.264,10,128261,0,0
1,10,JoinHeavy,193,Q5,SELECT,82.8937,True,,0.499,43.488,5,116731,0,0
1,10,JoinHeavy,194,Q3,SELECT,59.436,True,,0.186,29.204,10,128261,0,0
1,10,JoinHeavy,195,Q10,SELECT,52.5099,True,,0.285,26.351,20,53032,0,0
1,10,JoinHeavy,196,Q10,SELECT,54.371,True,,0.226,27.286,20,53032,0,0
1,10,JoinHeavy,197,Q3,SELECT,59.2855,True,,0.187,29.578,10,128261,0,0
1,10,JoinHeavy,198,Q5,SELECT,80.9872,True,,0.439,42.982,5,116731,0,0
1,10,JoinHeavy,199,Q10,SELECT,53.9867,True,,0.266,26.135,20,53032,0,0
1,10,JoinHeavy,200,Q3,SELECT,59.1432,True,,0.223,29.614,10,128261,0,0
